Genes	wt_DMSO_1	wt_DMSO_2	wt_DMSO_3	wt_CPT_1	wt_CPT_2	wt_CPT_3	miR34a_del_DMSO_1	miR34a_del_DMSO_2	miR34a_del_DMSO_3	miR34a_del_CPT_1	miR34a_del_CPT_2	miR34a_del_CPT_3
LL0000039191	24.86	15.26	41.85	26.18	61.04	89.63	40.33	67.13	10.5	57.4	72.13	37.34
LL0000039192	86.67	93.19	101.33	80.05	93.71	109.43	62	108.73	86.38	114.93	60.6	54.95
LL0000039194	134.59	175.23	161.64	83.69	112.16	95.25	88.85	146.84	100.02	116.65	97.02	64.02
LL0000039195	866.68	822.04	908.23	572.93	713.34	1080.64	626.72	990.43	882.88	816.5	606.62	407.71
LL0000039196	780.1	760.82	786.74	497.42	820.9	904.36	606.9	926.66	648.35	622.93	376.39	348.78
LL0000039197	624.29	598.48	528.29	806.9	1068.89	1282.76	508.14	726.37	677.15	952.45	679.81	586.07
LL0000039198	44	50.94	77	38.96	34	58	25	43	31	44	51.99	45
LL0000039199	0	2	1	1	3	2	2	0	2	3	0	0
LL0000039200	1.46	0	0	0	1.61	0	0	0	0	0	0	0
LL0000039201	695.1	621.35	682.34	998.44	1366.6	2042.9	500.07	815.8	707.89	1599.39	1055.96	1025.02
LL0000039202	36	27	23.39	38	26	43	19	27	25.95	55.99	30.84	20
LL0000039204	15	11	13	1	5	2.01	21	13	14	11	7	3
LL0000039205	650.23	561.82	558.93	837	1321.39	1900.3	487.96	762.95	593.09	1515.58	972.3	1043.9
LL0000039206	847.82	930.97	927.17	158.96	199	263.69	671.54	927	826.12	286.01	222.32	163.02
LL0000039207	81.03	102.01	93	75	145.84	155.99	48	81	106	198.9	95.82	80.19
LL0000039208	295.99	235.91	252.16	279.76	559.55	687.95	201.99	363	331.01	574.1	367.49	366.32
LL0000039209	436.99	344.75	365.28	264.16	323.02	472	318.62	413.38	374.67	390	276.98	243.05
LL0000039210	873.7	906.19	927.86	1308.79	1798.91	2269.75	785.37	961.39	883.24	1991.07	1088.77	1058.98
LL0000039211	0	0	0	4.73	0	0	0	0	0	0	15.49	1.19
LL0000039212	23	9	16	9	10	15	11	16	11	17	16.01	14
LL0000039213	537.13	574.16	491.04	564.18	722.49	1105.05	388.34	505.07	561.51	908.03	726.37	562.24
LL0000039214	1.61	5.26	5.19	1	0	7.32	6.73	5.3	1.13	2.54	2.17	0
LL0000039215	580.74	661.83	571.8	438.93	769	928.39	438.66	730.58	711.32	875.7	597.14	543.14
LL0000039216	607.04	526.1	580.05	341.68	543.27	633.57	422.09	600	442.58	556.37	348.4	341.69
LL0000039217	1787.51	1945.99	1960.17	1295.49	2162.99	2577.9	1365.53	1805.28	1811.08	2664.96	1740.05	1503.69
LL0000039218	17.47	22	21.22	13.78	20.38	22.3	6	7.43	11.23	14.91	9.76	20
LL0000039219	75.68	76.95	80.4	56	102.2	156.98	54	87.98	63	134.34	54.19	99.25
LL0000039220	30	36	26	9	9	16	28	18	20	21	19	12
LL0000039222	313	242.05	257.19	306.86	462.27	603.91	204.99	337.82	293	466.61	223.53	261.99
LL0000039223	181.96	217.54	256.21	55.81	127	174.16	173.95	220.39	209	183.91	139.8	74
LL0000039224	151.17	131.71	153.02	108.03	190.99	205.21	125.32	148.64	126.98	187.47	118.1	85.42
LL0000039225	1442.28	1339.18	1622.45	1544.45	1961.96	2454.47	1077.45	1351.51	1235.93	2346.3	1676.26	1354.66
LL0000039226	26.21	63.11	56.37	30.41	68.86	80.46	13.45	28.17	15	64.89	44.22	42.86
LL0000039227	17.03	38.8	25.17	17.59	34	43	19	15	23	64.05	31.59	12
LL0000039228	963.66	924.94	1026.83	482.72	761.07	902.64	839.51	1269.36	992.13	919.03	599.1	537.97
LL0000039229	219.09	208	256.7	82	123.34	175.02	211.5	219.86	215	203.21	131.06	74.3
LL0000039231	1567.85	1438.4	1652.96	897	1461.22	1990.56	1413.75	1695.39	1486.5	1790.71	1213.23	1063.84
LL0000039232	452.41	289.92	418.22	416.64	644.43	961.67	366.61	639.59	352.46	691.01	428.43	456.52
LL0000039233	77	65	58.08	76	118.01	82.93	85	95	47.99	102.11	57	88.92
LL0000039235	1293.23	1188.12	1342.8	943.91	1130.16	1450.92	874.37	1310.22	1069.37	1251.65	847.24	681.21
LL0000039236	845.61	764.04	886.52	1101.9	1364.65	1822.32	717.24	912.2	767.93	1835.05	1056.59	938.94
LL0000039238	719.07	668.2	719.16	558.34	836.18	1195.6	572.14	813.48	789.39	988.65	783.27	559.55
LL0000039239	305.87	302.67	317.56	208.41	305.62	418.75	199.31	334.92	275.73	296.18	204.71	179.1
LL0000039240	0	0	2	0.93	5	1	1	1	0	0	0	0
LL0000039241	1	2	1	3	1	5	0	1	0	2.76	2	0
LL0000039242	448	426.71	464.98	38	59.28	65	409.49	510.31	449.79	63	37.02	26
LL0000039243	618.98	636.43	601.46	432.83	669.77	762.52	452.24	741.18	641.37	914.55	562.4	568.09
LL0000039244	2064.46	2242.4	2308.25	1884.09	2907.58	4042.69	1844.6	2524.02	2116.06	2603.56	1735.49	1635.86
LL0000039245	64.47	54	63	66	110.08	172	35	47	65.01	110.97	94.23	81
LL0000039246	518.9	386.02	431.35	316.7	613.04	789.99	294.12	551.62	448.62	797.92	546.07	408.82
LL0000039247	12.34	26.1	19.24	11.44	26.21	33.93	11.56	19.05	9	28.93	9.26	14
LL0000039248	55.42	57	96.03	8	35.07	34.01	40	59.01	46.79	26	30.95	22
LL0000039249	413.97	372.9	441.11	127.03	182.47	207.88	278.59	489.15	367.28	175.47	100.22	91.36
LL0000039250	218.97	199.28	229.82	214.2	268	373.3	141.14	252.79	202.79	273.78	220.44	190.67
LL0000039251	660.9	565.26	628.9	596.8	586.02	793.03	427.16	651.94	645.8	730.54	508	425.16
LL0000039252	347.9	375.8	371.93	451.66	567.83	819.44	275	410.55	323	571.51	388.92	330.82
LL0000039253	874.98	913	909.2	317.84	505.07	411.98	761.68	945.98	813.16	419.65	265.83	249
LL0000039254	1191.15	1097	1221.42	658.6	820.28	1086.54	902.87	1441.89	1183.27	841.46	545.71	546.49
LL0000039255	2692.02	2438.62	2574.65	1690.21	2275.64	3162.04	1810.45	2895.49	2412.42	2472.74	1656.72	1533.31
LL0000039256	328.24	353.53	397.87	274.49	378.03	492.59	195.04	347	335.02	518.99	378.39	318.07
LL0000039257	3949.24	3453.62	3578.22	834.94	1192.75	1496.04	2842.46	3983.51	3109.95	1048.28	513.63	590.74
LL0000039259	1394.97	1176.01	1180.38	595.91	921.68	1289.2	943.25	1488.25	1338.04	1078.95	764.84	556.42
LL0000039260	2170.57	2130.58	2283.76	1689.28	2132.75	2183.1	1414.68	2255.05	1886.84	1920.83	1500.73	1128
LL0000039261	138.05	214.29	157.9	149.9	227.72	250.44	113.47	161.63	189.91	269.29	172.4	160.73
LL0000039262	0	0	0	0	1	0	0	0	1	0	0	0
LL0000039263	316.69	354.04	414.99	160.68	264.8	287.24	255.3	381.21	287.9	283.96	209.15	176.14
LL0000039264	161.96	154	163.86	275.03	402.35	524	105.85	201	144	358.23	299.2	213
LL0000039265	1211.04	1361.95	1145.35	1145.66	1396.82	1760.39	753.93	1376.35	1370.96	1447.99	1164.73	896.69
LL0000039266	50.05	38	67	33.01	50.71	66	47.03	69.77	54	82.01	60	36.4
LL0000039267	36	37.37	33	20	53	37	22	52	39.04	26	18	7
LL0000039268	220.96	274.31	247.34	121	168.94	267.19	168.99	222.94	234.27	177.96	112	110
LL0000039269	926.16	969.69	1266.13	524.14	761.99	536.73	662.79	1021.88	833.93	540.16	266.51	297.93
LL0000039270	952.55	819.95	882.59	389.86	645.48	859	653.75	798.15	714.76	706.92	454.93	395.57
LL0000039271	1616.54	1675.05	1669.88	650.94	938.96	1211.24	1434.49	2129.4	1801.38	1201.96	703.95	710
LL0000039272	3	1	1	3	6	9	0	1	1	2.75	1	1
LL0000039273	465.5	500.78	424.44	139.26	274	292.39	322.88	555.09	417.99	279.21	131.72	131.21
LL0000039274	2.25	5	2	1	1	4.88	0	0	2	0	1.19	0
LL0000039275	0	0	0	4	0	3	0	5	2	1	0	2
LL0000039276	484.76	620.15	614.89	214.95	302.33	493.25	412.47	587.58	603.16	355.55	207.3	222.25
LL0000039277	7	9	6	4	9	16	2	13.05	4	9	1	4
LL0000039278	639.33	670.84	657.89	379.94	748.2	1080.05	452.51	741.57	726.06	848.02	594.28	482.39
LL0000039279	507.04	589	559.71	344.71	544.87	713.36	275.29	573.19	451	625.99	383	339.1
LL0000039280	170.62	159.29	243.09	239.39	351.05	418.36	137.51	208.9	160.66	327.87	205.82	203.18
LL0000039281	832.37	988.13	846.27	750.07	1113.73	1647.14	611.99	913.21	790.7	1332.14	873.89	799.49
LL0000039282	2063.36	2137.03	2147.16	1654.77	2395.73	2187.21	1549.74	2481.42	2180.53	2303.3	1661.98	1307.4
LL0000039283	1249.71	1192.95	1228.68	642.72	804.91	962.22	837.97	1332.12	1196.07	932.99	584.36	508.74
LL0000039284	4822.46	4459.34	4607.4	4279.46	5947.35	7105.73	3783.41	5898.88	4658.1	7193.52	4637.95	4603.22
LL0000039285	1207.99	1114.76	1215.54	782.88	1254.83	1810.2	932.27	1167.26	972	1206.58	827.92	706.94
LL0000039286	2	0	1	5	14	4	2	1	1	8.78	3	5
LL0000039287	0	0	3	1	0	1	0	0	0	2	0	0
LL0000039288	60	81	101.99	33	75	109	31	49	69	77	52.17	51
LL0000039289	691.43	1403.72	1432.26	374.76	591.14	734.85	433	696.99	602.89	390.13	337.02	331.5
LL0000039290	96.81	54.99	78.44	64.32	84	114.77	61.88	93.15	84.33	141.29	111.54	68
LL0000039291	404.77	375.67	492.19	253.99	338	496.26	317.87	450.22	375.81	382.19	293.27	266.99
LL0000039292	45	46	42.07	38	44	79.33	23	104.53	61	84.27	39	42.02
LL0000039293	734.57	852.21	823.5	593.35	865.74	1335.88	435.01	892.01	926.92	1173.02	946.24	782.2
LL0000039294	94	119	148.93	43	67	87	95	120	116	67.01	65.86	56
LL0000039295	202.99	282.07	258.73	38	140	125	143	284	326.84	156	146	72
LL0000039296	18.46	10.53	13.84	3.04	3	4.28	13.59	5	3	10.96	3.19	4
LL0000039297	4	5	4.02	2	8	15	2	5	12.02	23.01	16	18.13
LL0000039298	609.24	488.16	638.52	877.9	1246.05	1554.32	363.98	648.93	507.62	1503.27	1111.57	1040.7
LL0000039299	305.27	305.65	320.51	183.05	311.98	333	244.23	380.5	355	310.29	226.82	177.94
LL0000039300	21	6	19	13	24	19	8	11	16	16	13.55	8
LL0000039301	646.53	817.92	764.52	422.88	487.12	584.26	491.37	707.9	677.98	571.97	400.52	341.98
LL0000039302	1070.8	1130.65	1236.4	461.13	801.45	969.92	1055.68	1172.48	1119.48	995.92	650.14	576.84
LL0000039303	1114.28	1120.22	1172.87	342.38	652.35	780.83	1019.52	1203.06	1274.31	733.52	465.06	431.07
LL0000039304	1326.2	1527.48	1781.7	730.6	1100.36	1460.63	1183.18	1611.44	1569.06	1389.01	847.84	752.05
LL0000039305	788.23	802.63	886.06	434.05	797.36	927.13	639.75	933.75	713.3	869.24	539.01	488.93
LL0000039306	278.95	363.29	377.62	158.24	334.99	389.91	250.94	426	314.87	276.66	215.51	178.96
LL0000039307	480.08	482.44	513.19	248.44	395.94	483.58	440.73	642.33	525.03	402.44	254.61	222.85
LL0000039308	274.96	299.28	360.97	166.03	319	322.97	250.45	378.32	344.49	307.93	199.99	191
LL0000039309	757.45	995.9	916.29	542.12	949.05	1244.44	497.16	825.19	762.06	1199.13	832.81	654.25
LL0000039310	32	36.11	31	7	21	47	14	18	28	57.08	19	30.14
LL0000039311	30.29	35.33	35.92	1	7.37	2.85	25.23	28	15	9	18.98	2.85
LL0000039312	40	33	45	4	6	9	19.98	41	42	12	6	0
LL0000039313	79.45	63.98	109.98	106.98	135	205.26	63	86.99	66.92	187.9	138.96	109
LL0000039314	1390.56	1451.73	1596.66	195.99	312.06	351	1412.61	1518.31	1149.12	370.1	196.21	167.5
LL0000039315	351.94	355.06	370.95	174.03	323.4	421.89	219.42	421.17	359.81	386.83	242.18	251.1
LL0000039316	738.63	754.01	799.68	226.16	315.56	289.55	678.59	732.85	587.47	382.14	184.76	179.92
LL0000039317	79.12	101.84	96.91	46.1	46	56.36	40.08	66	46.05	51.46	59	23.17
LL0000039318	28.98	7.97	15.87	14.08	11.93	21.35	14.32	12.98	8.01	32.55	15.76	21.23
LL0000039319	104.26	110.49	78.1	113.86	149.77	198.36	81.84	155.87	72.86	166.4	107.93	196.26
LL0000039320	8	14	16	4	6.02	7	9.82	8.07	18	5	6	4.05
LL0000039321	2	1.39	4	1	2	2.86	1	0	0	8	0	1
LL0000039322	0	0	2	0	0	1	0	0	0	0	0	0
LL0000039323	20	20	16	1	6	2	24	20.05	13	3.15	2	5
LL0000039324	263.09	284.66	220.51	182.15	233.69	421.78	152.12	339.71	337.92	401.71	289.81	278.22
LL0000039325	122.44	107.13	96.62	57.36	124.46	181.75	89.54	140.75	120.22	174.82	85.32	98.57
LL0000039326	1	0	0	0	0	1	0	0	2.01	2	0	0
LL0000039327	28.95	29.59	36	35	75	139.3	12.98	34	18.66	62.01	48.69	45
LL0000039328	5	2.53	1	3	4	0	4.01	0	4	4	4	1
LL0000039329	2	2	2	0	0	0	0	3	0	0	0	0
LL0000039330	275	198.87	266.69	242.87	249.93	339.1	204.69	359.57	307.01	306.65	255.01	177.14
LL0000039331	322	296.45	342.14	260.16	308.96	398.35	257.43	383.46	300.92	369.51	279.4	221.76
LL0000039332	17	16	10.2	4	24	20.23	11	14	13	30.88	16	16.02
LL0000039333	53.69	64.95	80.81	44.38	66.3	67.18	44.13	64.7	66.13	88.39	55.64	52.2
LL0000039334	6103.14	6543.28	6234.39	4336.29	6954.88	6799.32	4910.79	7952.67	5903.86	6625.77	3905.35	3794.39
LL0000039335	58	73	51.37	19.16	47	24	53	53.02	61.28	40.48	13.89	19
LL0000039336	5	2.6	0	0	1	0	0	0	0	0	0	0
LL0000039337	939.12	830.01	990	603.5	922.1	863.26	927.67	1066.66	818.99	942.98	477.06	472.96
LL0000039338	49.03	58	62.06	37	67	72	38.92	37.04	52.83	78.55	65	41
LL0000039339	9.73	13.61	9.52	11.88	12.79	21.39	9.91	30.92	17.82	24.32	14.58	22.91
LL0000039340	13	11.05	8.01	42	36	53.07	21.13	13.07	23.08	63.93	50.14	31.01
LL0000039341	1.99	2	1	4.48	2	22	3	0	0	16	5	7
LL0000039342	0	0	0	1	0	1	3	1	0	0	2	0
LL0000039343	4	0	0	0	0	0	3	4	0	2	0	0
LL0000039344	59.96	59.28	81.55	40.66	50	60.63	65.59	57	49	57	50.05	38
LL0000039345	1	2	2	0	0	0	0	1	0	0	0	0
LL0000039346	25	32	17	23	17	26.99	13	24	24	27	12	23
LL0000039347	0	3.67	2.34	0	0	0	4	0	4	1.1	2.98	0
LL0000039348	16.24	13.61	10.34	14.2	19.87	35.96	5.45	3.77	8.02	35.01	16.97	18.11
LL0000039349	90	101.53	63.01	89.9	125.77	178.85	78	62	86.98	182.91	117.91	99.98
LL0000039350	0	0	0	0	0	0	0	0	0	1	0	0
LL0000039351	107.05	124.38	141	86.65	156.81	216.07	75.45	77.23	129.17	182.5	155.63	152.49
LL0000039352	0	0	0	1	0	2	0	0	4	0	1	0
LL0000039353	75	113	88.98	22	58	48	88.08	90.26	78	89.91	56	40
LL0000039354	82.1	65.62	77.17	34.18	49.05	66.53	55.4	74.51	70.04	70.89	28	48.08
LL0000039355	3	10	3	3	15	19	3	5	5	10	14	4
LL0000039356	0	0	0	0	0	2	0	0	0	0	0	0
LL0000039357	1	1	1	1	1	4	3	1	1	2	1	3
LL0000039358	10	26	19	0	1	5	27	21	14.93	6	0	2
LL0000039359	7	8	6	1	0	1	3	2	3	0	4	1
LL0000039360	138.58	177	154.93	72.85	180.9	241.86	163.36	205.26	189.02	208.53	143.5	134.71
LL0000039361	4	8	2.37	0	0	0	1.67	2.37	2.47	3	0	0.98
LL0000039362	0	0	1	0	0	0	0	0	0	0	0	0
LL0000039363	651.04	820.64	894.39	374.92	417.04	354.64	464.77	717.78	600.72	590.97	290.98	311.98
LL0000039364	0	0	0	0	2	0	0	0	3	0	0	2
LL0000039365	0	1	3	1	1	0	0	0	0	0	1	2
LL0000039366	2	2	1	1	0	2.02	0	1	4	4	0	2
LL0000039367	1.06	0	0	1.12	3.02	1.12	1.09	0	0	5.35	0	2.41
LL0000039368	1	0	0	0	1	0	1	0	0	0	0	0
LL0000039370	0	0	2.85	0	0	0	3.09	0	4.05	0.76	0	0
LL0000039371	99.19	94.74	112.78	62.07	189.47	221.37	75.52	85.32	84.11	194.03	137.78	130.22
LL0000039372	14.39	20.31	18.75	9.32	15.31	18.48	7.08	19.21	15	11.11	7.1	11
LL0000039373	1	0	0	0	1	1	0	0	0	0	0	2
LL0000039374	0	0	1	0	0	3.97	3.1	1	2	1	3	0
LL0000039375	6	4	0	4	1	12	1.27	5	3	16.46	7	13.03
LL0000039376	35	45	63.08	81.05	110.03	123.87	20	33	30	124.97	93.01	94.04
LL0000039377	1.35	3.62	6.37	1.04	2.61	1.2	0	1.05	1.11	3.45	5.54	0
LL0000039378	828.99	890.79	960.86	911.6	1377.59	1842.13	633.08	917.06	788.5	1505.42	990.91	895.07
LL0000039379	1815.13	2119.9	2270.21	1510.65	2119.79	2256.16	1812.07	2082.08	1852.93	2034.31	1250.06	1168.2
LL0000039380	853.57	887.71	987.8	449	685.98	828.31	783.38	999.1	799.57	755.18	522.33	439.77
LL0000039381	48	47	52.02	13	16	38	23	39.01	61	20	31	20
LL0000039382	1478.41	1900.94	1717.18	585.18	1264.06	1720.88	1185.32	1775.88	1594.49	1561.87	955.27	910.46
LL0000039383	3	0	1.99	4	0	3.36	3	3.39	9	5	5	2
LL0000039384	452.49	341.03	315.12	300.07	414.63	698.1	366.8	525.15	501	608.42	496.13	451.94
LL0000039385	141.64	152.11	141.16	95.72	149.37	246.99	132.37	154.88	97.3	190.92	119.45	114.38
LL0000039386	11.12	5.5	3.22	9.43	2.87	12.63	3.93	11.06	7.02	10.11	9.12	0
LL0000039387	254.16	246.68	277.3	269.72	420.95	615.01	208.83	282.51	254.53	621.43	441.41	348.09
LL0000039388	30.89	19.81	32.06	40.4	87.26	87.98	22.56	29.79	28.17	93.08	62.15	40.76
LL0000039389	93.44	89.32	132.59	74.7	152.88	284.96	83.95	100.09	86.19	268.1	134.49	152.64
LL0000039390	83.46	43.82	75.82	14.69	37.42	33.86	52.32	66.87	88.14	61.89	35.06	19.55
LL0000039391	217.21	240.77	247.72	156.81	265.5	412.43	129.52	249.26	201.68	300.19	233.73	207.6
LL0000039392	714.42	695.31	843.96	399.27	657.73	830.38	624.79	697.27	733.98	1046.1	781.54	728.36
LL0000039393	96.58	97.39	95.27	136.38	201.29	305.48	83.8	126.1	93.94	242.22	164.6	120.18
LL0000039394	376.95	339.99	435.95	196.3	318.33	462.93	337.68	375.14	410.78	426.28	280.01	195.47
LL0000039395	279.09	316.29	373.29	359.62	587.59	702.83	224.31	345.89	332.05	647.46	389.76	366
LL0000039396	32.39	105.66	93.69	11.77	71.26	60.84	23.89	27.69	22.39	44.93	16.76	27.93
LL0000039397	0	0	10.81	0	0	0	7.98	19.03	2.97	24.31	4.66	0
LL0000039398	71.34	74.78	91.54	29	64	73.15	56.45	90	86.04	134.1	57.41	69.03
LL0000039399	239.93	288.93	312.36	299.56	496.82	552.86	211	305.58	262.33	565.87	365.14	384.2
LL0000039400	268.13	267.03	272.94	147.4	206.59	298.07	196.93	276.18	250.5	377.53	321.67	232.13
LL0000039401	42.91	7.3	30.07	27.21	22.82	51.58	14.08	2.75	13.64	37.12	27.75	24.51
LL0000039402	74.94	76.46	71.34	39.61	91.21	189.35	48.54	81.68	41.54	121.14	96.4	79.89
LL0000039403	13.93	0	8.94	2.98	4.61	6.15	6.16	11.11	23.66	9.53	8.15	3.02
LL0000039404	80.1	70.69	88.2	67.78	71.16	177.48	46.42	57.13	78.85	133.23	57.98	78.95
LL0000039405	112.01	117.47	160.47	58.28	139.22	143.53	89.99	87.13	130.7	157.04	108.33	118.41
LL0000039406	73.78	71.2	78.49	27.96	66.33	81.59	59.78	103.47	81.28	75.47	85.32	74.1
LL0000039407	204.21	254.37	258.51	167.86	385.54	520.12	111.37	192.47	206.87	414.81	259.06	261.06
LL0000039408	86.96	60.45	72.43	74.44	90.1	140.44	38.18	73.17	60.98	110.06	68.28	46.94
LL0000039409	33.94	32.65	56.33	51.34	53.27	76.91	19.91	105.9	41.7	50.11	66.18	20.29
LL0000039410	19.12	11.03	14.99	7.56	17.11	8.59	3.11	17.48	2.25	15.72	4.79	12.63
LL0000039411	180.61	172.17	165.83	178.5	361.26	566.25	105.58	191.02	219.44	739.13	420.27	466.5
LL0000039412	22.07	24.68	33.23	51.93	36.24	61.85	24.53	6.06	48.21	51.19	62.52	15.3
LL0000039413	45.36	61.23	82.63	38.18	66.07	104.41	41.76	38.23	57.83	81.63	56.24	68.4
LL0000039414	140.27	58.48	95.96	72.63	129.38	217.76	79.5	109.66	113.19	193.29	182.62	123.4
LL0000039415	6.81	7.12	11.92	4.61	0	2.31	18.5	2.31	0	0	5.19	18.85
LL0000039416	0	0	6.42	0	10.5	18.16	11.93	32.35	0	0	0	0
LL0000039417	1509.84	1622.97	1800.5	702.45	939.26	1112.17	1240.24	1492.6	1365.7	1646.93	988.95	1009.6
LL0000039418	89.59	83.14	146.44	49.95	134.83	161.47	87.78	101.87	88.46	132.38	108.82	104.27
LL0000039419	20.9	9.66	27.19	9.89	27.52	33.48	10.91	4.74	23.72	32.54	19.46	19.55
LL0000039420	21.19	10.39	10.99	0	13.5	22.97	23.28	6.31	9.1	19.42	15.44	9.66
LL0000039421	14.36	11.37	9.23	15.75	24.23	28.24	16.39	9.1	32.79	27.59	44.03	34.19
LL0000039422	71.86	64.6	57.5	78.03	111.27	183.44	46.8	83.7	46.26	117.25	105.47	81.18
LL0000039423	148.19	133.26	158.94	115.47	205.99	293.34	145.05	215.46	183.67	306.7	175.71	180.21
LL0000039424	116.64	44.58	99.8	23.61	117.75	88.34	48.4	117.57	83.39	68.82	153.61	39.47
LL0000039425	32.82	50.59	52.55	60.51	59.49	67.83	31.49	63.11	35.49	36.87	31.79	41.71
LL0000039426	0	0	0	0	0	2.14	0	0	1.88	0	0	0
LL0000039427	4.37	0	0	0	2.46	3.3	1.61	4.32	0	0	0	0
LL0000039428	62.03	135.88	170.6	135.47	155.31	175.06	67.18	135.89	151.81	155.59	137.07	96.72
LL0000039429	105.3	129.79	95.37	96.61	151.72	140.35	86.7	86.77	89.98	151.27	78.51	125.52
LL0000039430	54.75	53.6	132.87	33.36	84.74	133.92	46.16	50.91	60.17	59.93	58.18	58.5
LL0000039431	20.52	18.03	21.98	24.95	29.21	49.45	5.48	25.95	10.42	71.22	19.97	38.1
LL0000039432	30.2	37.18	29.06	31.51	52.78	78.36	80.4	54.26	12.65	49.37	93.18	49.59
LL0000039433	58.87	34.64	52.12	41.53	61.33	103.88	42.39	37.83	51.52	95.03	64.24	81.88
LL0000039434	31.69	30.96	27.81	25.45	32.71	60.93	36.65	32.45	20.87	43.69	34.82	34.09
LL0000039435	41.7	32.82	56.32	40.81	64.2	117.07	32.73	53.26	51.64	93.26	96.76	70.6
LL0000039436	0	23.06	0	11.82	42.42	34.61	15.31	11.02	14.65	0.03	48.26	17.84
LL0000039437	66.17	55.31	48.41	45.29	65.49	86.2	38.14	51.22	30.62	71.8	55.74	58.23
LL0000039438	41.83	44.99	46.85	35.79	46.28	57.22	42.71	38.79	42.46	73.06	43.23	30.2
LL0000039439	0	0	0	0	1.82	0	3.95	3.46	0	0	0	2.89
LL0000039440	128.83	108.84	157.92	118.09	138.35	230.45	103.11	127.31	136.87	252.43	154.87	128.83
LL0000039441	57.39	31.73	23.96	54.75	93.15	125.7	27.47	26.89	44.68	136.71	68.81	82.11
LL0000039442	9.56	0	3.28	0	4.15	15.16	8.12	0	3.9	5.25	8.83	0
LL0000039443	1512.53	1327	1382.43	301.54	538.49	588.83	1104.92	976.79	1033.77	611.47	335.34	338
LL0000039444	35.78	26.7	15.73	23.3	44.87	48.42	5.54	28.58	38.32	32.65	64.33	33.01
LL0000039445	60.6	95.22	61.39	64.97	104.88	149.85	38.25	75.99	61.41	121.37	137.98	82.18
LL0000039446	130.46	110.25	98.12	79.87	131.18	181.21	77.52	128.23	113.04	187.82	126.57	162.15
LL0000039447	23.82	16.68	19.25	14.34	31.95	47.72	11.46	24.58	13.79	54.79	50.72	33.76
LL0000039448	53.01	41.79	26.66	51.33	63.05	95.39	33.72	44.33	55.36	141	76.77	60.71
LL0000039449	43.79	84.27	48.38	11.9	43.45	81.72	17.51	48.99	53.81	66.73	55.62	42.4
LL0000039450	45.73	47.43	41.44	28.1	38.91	38	39.15	45.09	41.24	81.09	63.45	43.92
LL0000039451	1849.65	2020.3	2280.75	1501.01	1595.94	1762.94	1748.34	1852.51	1385.59	2396.1	1423.91	1529.72
LL0000039452	46.66	68.13	56.82	35.53	50.07	102.47	38.46	64.09	34.11	97.26	63.11	50.62
LL0000039453	54.34	23.83	42.37	26.35	62.2	89.06	28.54	40.74	43.89	70.03	46.67	67.54
LL0000039454	9.05	11.44	8.84	8.44	8.67	14.77	4.47	14.7	9.17	23.3	8.63	7.1
LL0000039455	35.36	46.19	35.81	30.45	42.88	58.26	25.38	42.8	21.99	60.73	16.3	29.1
LL0000039456	74.48	56.19	91.17	45.65	65.88	86.06	33.78	55.89	55.18	99.08	55.3	31.61
LL0000039457	25.65	53.61	53.96	39.93	34.21	50.15	16.03	29.93	39.74	48.86	43.72	43.53
LL0000039458	50.59	49.23	46.73	17.26	13.15	32.18	16.86	39.35	48.85	83.77	27.07	21.85
LL0000039459	40.82	16.07	36.5	34.3	63.96	65.98	16.92	17.57	21.96	75.43	72.19	62.83
LL0000039460	34.9	29.74	55.88	42.88	54.94	64.58	35.87	51.64	44.75	80.23	81.95	45.45
LL0000039461	35.17	10.42	22.4	13.16	27.51	48.42	19.16	31.8	32.4	55.1	40.14	43.32
LL0000039462	7.13	12.5	7.39	0	0	0	9.45	4.86	1.51	8.97	2.76	10.68
LL0000039463	48.1	34.65	52.09	23.75	43.85	98.19	34.36	37.33	70.55	59.61	100.33	27.92
LL0000039464	9.73	15.23	10.63	6.17	16.69	17.45	7.4	13.01	16.88	6.64	0	12.41
LL0000039465	159.12	145.99	191.01	74.8	150.56	202.39	106.57	125.57	144.14	146.85	129.03	78.91
LL0000039466	22.64	25.89	21.92	15.26	18.44	37.41	23.71	22.84	22.02	35.96	62.29	68.67
LL0000039467	119.94	136.44	135.89	73.43	199.48	210.66	114.07	144.65	134.85	170.1	201.87	129.77
LL0000039468	14.1	13.15	10.11	3.1	14.94	12.52	7.22	13.39	6.71	12.55	12.39	11.25
LL0000039469	44.05	45.42	51.15	27.22	62.24	80.41	31.94	51.33	54.96	70.11	49.64	38.86
LL0000039470	46.78	30.43	50.89	47.72	50.99	78.91	32.22	72.01	60.23	82.71	80.12	74.67
LL0000039471	95.68	64.67	71.89	40.88	78.93	115.62	63.15	80.52	58.18	95.76	91.43	86.71
LL0000039472	13.77	20.38	27.58	18.96	37.83	29.51	25.44	36.95	27.45	41.87	34.5	28.64
LL0000039473	75.16	61.5	81.5	56.29	97.31	151.5	49.49	69.56	64.39	137.53	120.59	91.59
LL0000039474	61.37	73.01	90.45	59.63	104.1	136.14	49.49	58.11	77.45	149.42	91.04	85.67
LL0000039475	21.54	31.83	12.58	12.37	19.21	11.8	7.46	12.95	23.8	44.35	29.32	21.57
LL0000039476	35.07	45.17	10.57	21.96	44.61	74.01	35.02	26.26	35.22	74.69	57.73	58.37
